feature,importance
金沢_風向_0_00,2
富山_蒸気圧_hPa__9_00,2
富山野々上_積雪深_軌道B__mean_18-24,2
富山野々上_積雪深_軌道A__max_0-6,2
富山野々上_積雪深_軌道A__mean_18-24,2
金沢_蒸気圧_hPa__16_00,2
金沢_蒸気圧_hPa__22_00,2
金沢_蒸気圧_hPa__15_00,2
金沢_雲量_10分比__6_00,2
金沢_蒸気圧_hPa__10_00,2
金沢_蒸気圧_hPa__6_00,2
金沢_蒸気圧_hPa__9_00,2
金沢_現地気圧_hPa__10_00,2
金沢_風向_19_00,2
金沢_風速_m_s__23_00,2
富山_日射量_MJ_m2__10_00,2
金沢_現地気圧_hPa__2_00,1
金沢_現地気圧_hPa__7_00,1
金沢_現地気圧_hPa__11_00,1
金沢_現地気圧_hPa__17_00,1
富山_気温_℃__3_00_ge_5.0_C,1
糸魚川_気温_℃__10_00_ge_5.0_C,1
糸魚川_気温_℃__5_00_ge_5.0_C,1
糸魚川_気温_℃__7_00_ge_5.0_C,1
富山_気温_℃__4_00_ge_5.0_C,1
富山_気温_℃__23_00_ge_5.0_C,1
富山野々上_積雪深_軌道A__max_6-12,1
富山野々上_積雪深_軌道B__max_18-24,1
富山野々上_積雪深_軌道B__min_6-12,1
富山野々上_積雪深_軌道B__mean_12-18,1
富山_蒸気圧_hPa__8_00,1
金沢_風向_9_00,1
金沢_蒸気圧_hPa__14_00,1
金沢_蒸気圧_hPa__19_00,1
金沢_蒸気圧_hPa__20_00,1
金沢_雲量_10分比__3_00,1
金沢_蒸気圧_hPa__3_00,1
金沢_現地気圧_hPa__23_00,1
金沢_蒸気圧_hPa__7_00,1
金沢_蒸気圧_hPa__4_00,1
金沢_気温_℃__22_00_ge_5.0_C,1
金沢_気温_℃__13_00_ge_5.0_C,1
金沢_気温_℃__21_00_ge_5.0_C,1
金沢_現地気圧_hPa__1_00,1
富山_日照時間_時間__2_00,1
金沢_風向_23_00,1
金沢_風向_10_00,1
糸魚川_風向_9_00,1
富山_風向_18_00,1
富山_風向_11_00,1
富山_風向_7_00,1
富山_風向_6_00,1
金沢_蒸気圧_hPa__13_00,1
富山_現地気圧_hPa__6_00,1
糸魚川_風向_11_00,1
糸魚川_風向_10_00,1
富山_現地気圧_hPa__7_00,1
富山_現地気圧_hPa__10_00,1
糸魚川_風向_17_00,1
糸魚川_風向_12_00,1
金沢_日照時間_時間__10_00,1
金沢_日照時間_時間__12_00,1
金沢_日照時間_時間__14_00,1
金沢_日照時間_時間__7_00,1
富山_現地気圧_hPa__15_00,1
富山_現地気圧_hPa__17_00,1
富山_現地気圧_hPa__21_00,1
富山_現地気圧_hPa__22_00,1
金沢_露点温度_℃__12_00,1
金沢_露点温度_℃__13_00,1
金沢_露点温度_℃__9_00,1
金沢_雲量_10分比__21_00,1
糸魚川_日照時間_時間__18_00,1
富山_海面気圧_hPa__7_00,1
金沢_露点温度_℃__18_00,1
金沢_露点温度_℃__20_00,1
富山_露点温度_℃__12_00,1
富山_露点温度_℃__17_00,1
富山_露点温度_℃__16_00,1
富山_露点温度_℃__19_00,1
富山野々上_積雪深_側溝__mean_0-6,1
富山野々上_積雪深_軌道__min_6-12,1
富山野々上_積雪深_側溝__mean_12-18,1
富山野々上_積雪深_側溝__mean_6-12,1
富山野々上_積雪深_側溝__max_18-24,1
富山_露点温度_℃__10_00,1
富山_露点温度_℃__1_00,1
富山_雲量_10分比__15_00,1
富山_露点温度_℃__14_00,1
富山_蒸気圧_hPa__3_00,1
富山_蒸気圧_hPa__21_00,1
富山_蒸気圧_hPa__23_00,1
金沢_露点温度_℃__23_00,1
富山_蒸気圧_hPa__20_00,1
富山_蒸気圧_hPa__17_00,1
富山_蒸気圧_hPa__15_00,1
長野_列車通過時_気温_ge_5.0_C,0
富山_気温_1_00,0
富山_気温_2_00,0
富山_気温_3_00,0
富山_気温_4_00,0
富山_気温_5_00,0
糸魚川_気温_℃__0_00_ge_5.0_C,0
糸魚川_気温_℃__23_00_ge_5.0_C,0
糸魚川_気温_℃__22_00_ge_5.0_C,0
糸魚川_気温_℃__21_00_ge_5.0_C,0
糸魚川_気温_℃__20_00_ge_5.0_C,0
糸魚川_気温_℃__19_00_ge_5.0_C,0
糸魚川_気温_℃__18_00_ge_5.0_C,0
糸魚川_気温_℃__17_00_ge_5.0_C,0
糸魚川_気温_℃__16_00_ge_5.0_C,0
糸魚川_気温_℃__15_00_ge_5.0_C,0
糸魚川_気温_℃__14_00_ge_5.0_C,0
糸魚川_気温_℃__13_00_ge_5.0_C,0
糸魚川_気温_℃__12_00_ge_5.0_C,0
糸魚川_気温_℃__11_00_ge_5.0_C,0
糸魚川_気温_℃__9_00_ge_5.0_C,0
糸魚川_気温_℃__8_00_ge_5.0_C,0
富山_相対湿度_%__0_00,0
富山_相対湿度_%__23_00,0
富山_相対湿度_%__22_00,0
富山_相対湿度_%__21_00,0
富山_相対湿度_%__20_00,0
富山_相対湿度_%__19_00,0
富山_相対湿度_%__18_00,0
富山_相対湿度_%__17_00,0
富山_相対湿度_%__16_00,0
富山_相対湿度_%__15_00,0
富山_相対湿度_%__14_00,0
富山_相対湿度_%__13_00,0
富山_相対湿度_%__12_00,0
富山_蒸気圧_hPa__10_00,0
富山_蒸気圧_hPa__6_00,0
富山_蒸気圧_hPa__5_00,0
富山_雲量_10分比__18_00,0
富山_雲量_10分比__17_00,0
富山_雲量_10分比__16_00,0
富山_雲量_10分比__14_00,0
富山_雲量_10分比__13_00,0
富山_雲量_10分比__12_00,0
富山_雲量_10分比__11_00,0
富山_雲量_10分比__10_00,0
富山_雲量_10分比__9_00,0
富山_雲量_10分比__8_00,0
富山_雲量_10分比__7_00,0
富山_雲量_10分比__6_00,0
富山_雲量_10分比__5_00,0
富山_雲量_10分比__4_00,0
富山_雲量_10分比__2_00,0
富山_雲量_10分比__1_00,0
富山_露点温度_℃__15_00,0
富山_露点温度_℃__13_00,0
富山_露点温度_℃__11_00,0
富山_露点温度_℃__9_00,0
富山_露点温度_℃__8_00,0
富山_露点温度_℃__7_00,0
富山_露点温度_℃__6_00,0
富山_露点温度_℃__5_00,0
富山_露点温度_℃__4_00,0
富山_露点温度_℃__3_00,0
富山_露点温度_℃__2_00,0
富山_雲量_10分比__0_00,0
富山_雲量_10分比__23_00,0
富山_雲量_10分比__22_00,0
富山_雲量_10分比__20_00,0
富山_雲量_10分比__19_00,0
糸魚川_気温_10_00,0
糸魚川_気温_9_00,0
糸魚川_気温_8_00,0
糸魚川_気温_7_00,0
糸魚川_気温_6_00,0
糸魚川_気温_5_00,0
糸魚川_気温_4_00,0
糸魚川_気温_3_00,0
糸魚川_気温_2_00,0
糸魚川_気温_1_00,0
富山_露点温度_℃__0_00,0
富山_露点温度_℃__23_00,0
富山_露点温度_℃__22_00,0
富山_露点温度_℃__21_00,0
富山_露点温度_℃__20_00,0
富山_露点温度_℃__18_00,0
糸魚川_降水量_2_00,0
糸魚川_降水量_1_00,0
糸魚川_気温_0_00,0
糸魚川_気温_23_00,0
糸魚川_気温_22_00,0
糸魚川_気温_21_00,0
糸魚川_気温_20_00,0
糸魚川_気温_19_00,0
糸魚川_気温_18_00,0
糸魚川_気温_17_00,0
糸魚川_気温_16_00,0
糸魚川_気温_15_00,0
糸魚川_気温_14_00,0
糸魚川_気温_13_00,0
糸魚川_気温_12_00,0
糸魚川_気温_11_00,0
糸魚川_降水量_18_00,0
糸魚川_降水量_17_00,0
糸魚川_降水量_16_00,0
糸魚川_降水量_15_00,0
糸魚川_降水量_14_00,0
糸魚川_降水量_13_00,0
糸魚川_降水量_12_00,0
糸魚川_降水量_11_00,0
糸魚川_降水量_10_00,0
糸魚川_降水量_9_00,0
糸魚川_降水量_8_00,0
糸魚川_降水量_7_00,0
糸魚川_降水量_6_00,0
糸魚川_降水量_5_00,0
糸魚川_降水量_4_00,0
糸魚川_降水量_3_00,0
糸魚川_降雪_10_00,0
糸魚川_降雪_9_00,0
糸魚川_降雪_8_00,0
糸魚川_降雪_7_00,0
糸魚川_降雪_6_00,0
糸魚川_降雪_5_00,0
糸魚川_降雪_4_00,0
糸魚川_降雪_3_00,0
糸魚川_降雪_2_00,0
糸魚川_降雪_1_00,0
糸魚川_降水量_0_00,0
糸魚川_降水量_23_00,0
糸魚川_降水量_22_00,0
糸魚川_降水量_21_00,0
糸魚川_降水量_20_00,0
糸魚川_降水量_19_00,0
糸魚川_積雪_2_00,0
糸魚川_積雪_1_00,0
糸魚川_降雪_0_00,0
糸魚川_降雪_23_00,0
糸魚川_降雪_22_00,0
糸魚川_降雪_21_00,0
糸魚川_降雪_20_00,0
糸魚川_降雪_19_00,0
糸魚川_降雪_18_00,0
糸魚川_降雪_17_00,0
糸魚川_降雪_16_00,0
糸魚川_降雪_15_00,0
糸魚川_降雪_14_00,0
糸魚川_降雪_13_00,0
糸魚川_降雪_12_00,0
糸魚川_降雪_11_00,0
糸魚川_積雪_18_00,0
糸魚川_積雪_17_00,0
糸魚川_積雪_16_00,0
糸魚川_積雪_15_00,0
糸魚川_積雪_14_00,0
糸魚川_積雪_13_00,0
糸魚川_積雪_12_00,0
糸魚川_積雪_11_00,0
糸魚川_積雪_10_00,0
糸魚川_積雪_9_00,0
糸魚川_積雪_8_00,0
糸魚川_積雪_7_00,0
糸魚川_積雪_6_00,0
糸魚川_積雪_5_00,0
糸魚川_積雪_4_00,0
糸魚川_積雪_3_00,0
糸魚川_日照時間_時間__11_00,0
糸魚川_日照時間_時間__10_00,0
糸魚川_日照時間_時間__9_00,0
糸魚川_日照時間_時間__7_00,0
糸魚川_日照時間_時間__6_00,0
糸魚川_日照時間_時間__5_00,0
糸魚川_日照時間_時間__4_00,0
糸魚川_日照時間_時間__3_00,0
糸魚川_日照時間_時間__2_00,0
糸魚川_日照時間_時間__1_00,0
糸魚川_積雪_0_00,0
糸魚川_積雪_23_00,0
糸魚川_積雪_22_00,0
糸魚川_積雪_21_00,0
糸魚川_積雪_20_00,0
糸魚川_積雪_19_00,0
糸魚川_日照時間_時間__12_00,0
富山_相対湿度_%__11_00,0
富山_相対湿度_%__10_00,0
富山_相対湿度_%__9_00,0
富山_相対湿度_%__8_00,0
富山_相対湿度_%__7_00,0
富山_相対湿度_%__6_00,0
富山_相対湿度_%__5_00,0
富山_相対湿度_%__4_00,0
富山_相対湿度_%__3_00,0
富山_相対湿度_%__2_00,0
富山_相対湿度_%__1_00,0
富山_海面気圧_hPa__0_00,0
富山_海面気圧_hPa__23_00,0
富山_海面気圧_hPa__21_00,0
富山_海面気圧_hPa__20_00,0
富山_海面気圧_hPa__9_00,0
富山_海面気圧_hPa__8_00,0
富山_海面気圧_hPa__6_00,0
富山_海面気圧_hPa__5_00,0
富山_海面気圧_hPa__4_00,0
糸魚川_日照時間_時間__0_00,0
糸魚川_日照時間_時間__23_00,0
糸魚川_日照時間_時間__22_00,0
糸魚川_日照時間_時間__21_00,0
糸魚川_日照時間_時間__20_00,0
糸魚川_日照時間_時間__19_00,0
糸魚川_日照時間_時間__17_00,0
糸魚川_日照時間_時間__16_00,0
糸魚川_日照時間_時間__15_00,0
糸魚川_日照時間_時間__14_00,0
糸魚川_日照時間_時間__13_00,0
糸魚川_風向_2_00,0
糸魚川_風向_1_00,0
富山_海面気圧_hPa__3_00,0
富山_海面気圧_hPa__2_00,0
富山_海面気圧_hPa__1_00,0
富山_現地気圧_hPa__14_00,0
富山_海面気圧_hPa__19_00,0
富山_海面気圧_hPa__18_00,0
富山_海面気圧_hPa__17_00,0
富山_海面気圧_hPa__16_00,0
富山_海面気圧_hPa__15_00,0
富山_海面気圧_hPa__14_00,0
富山_海面気圧_hPa__13_00,0
富山_海面気圧_hPa__12_00,0
富山_海面気圧_hPa__11_00,0
富山_海面気圧_hPa__10_00,0
糸魚川_風向_18_00,0
糸魚川_風向_15_00,0
糸魚川_風向_14_00,0
糸魚川_風向_13_00,0
富山_現地気圧_hPa__9_00,0
富山_日射量_MJ_m2__0_00,0
富山_日射量_MJ_m2__23_00,0
富山_日射量_MJ_m2__22_00,0
富山_日射量_MJ_m2__21_00,0
富山_日射量_MJ_m2__20_00,0
糸魚川_風向_8_00,0
糸魚川_風向_7_00,0
糸魚川_風向_6_00,0
糸魚川_風向_5_00,0
糸魚川_風向_4_00,0
糸魚川_風向_3_00,0
糸魚川_日射量_MJ_m2__10_00,0
糸魚川_日射量_MJ_m2__9_00,0
糸魚川_日射量_MJ_m2__8_00,0
糸魚川_日射量_MJ_m2__7_00,0
糸魚川_日射量_MJ_m2__6_00,0
糸魚川_日射量_MJ_m2__5_00,0
糸魚川_日射量_MJ_m2__4_00,0
糸魚川_日射量_MJ_m2__3_00,0
糸魚川_日射量_MJ_m2__2_00,0
糸魚川_日射量_MJ_m2__1_00,0
糸魚川_風向_0_00,0
糸魚川_風向_23_00,0
糸魚川_風向_22_00,0
糸魚川_風向_21_00,0
糸魚川_風向_20_00,0
糸魚川_風向_19_00,0
糸魚川_現地気圧_hPa__2_00,0
糸魚川_現地気圧_hPa__1_00,0
糸魚川_日射量_MJ_m2__0_00,0
糸魚川_日射量_MJ_m2__23_00,0
糸魚川_日射量_MJ_m2__22_00,0
糸魚川_日射量_MJ_m2__21_00,0
糸魚川_日射量_MJ_m2__20_00,0
糸魚川_日射量_MJ_m2__19_00,0
糸魚川_日射量_MJ_m2__18_00,0
糸魚川_日射量_MJ_m2__17_00,0
糸魚川_日射量_MJ_m2__16_00,0
糸魚川_日射量_MJ_m2__15_00,0
糸魚川_日射量_MJ_m2__14_00,0
糸魚川_日射量_MJ_m2__13_00,0
糸魚川_日射量_MJ_m2__12_00,0
糸魚川_日射量_MJ_m2__11_00,0
糸魚川_現地気圧_hPa__18_00,0
糸魚川_現地気圧_hPa__17_00,0
糸魚川_現地気圧_hPa__16_00,0
糸魚川_現地気圧_hPa__15_00,0
糸魚川_現地気圧_hPa__14_00,0
糸魚川_現地気圧_hPa__13_00,0
糸魚川_現地気圧_hPa__12_00,0
糸魚川_現地気圧_hPa__11_00,0
糸魚川_現地気圧_hPa__10_00,0
糸魚川_現地気圧_hPa__9_00,0
糸魚川_現地気圧_hPa__8_00,0
糸魚川_現地気圧_hPa__7_00,0
糸魚川_現地気圧_hPa__6_00,0
糸魚川_現地気圧_hPa__5_00,0
糸魚川_現地気圧_hPa__4_00,0
糸魚川_現地気圧_hPa__3_00,0
糸魚川_海面気圧_hPa__10_00,0
糸魚川_海面気圧_hPa__9_00,0
糸魚川_海面気圧_hPa__8_00,0
糸魚川_海面気圧_hPa__7_00,0
糸魚川_海面気圧_hPa__6_00,0
糸魚川_海面気圧_hPa__5_00,0
糸魚川_海面気圧_hPa__4_00,0
糸魚川_海面気圧_hPa__3_00,0
糸魚川_海面気圧_hPa__2_00,0
糸魚川_海面気圧_hPa__1_00,0
糸魚川_現地気圧_hPa__0_00,0
糸魚川_現地気圧_hPa__23_00,0
糸魚川_現地気圧_hPa__22_00,0
糸魚川_現地気圧_hPa__21_00,0
糸魚川_現地気圧_hPa__20_00,0
糸魚川_現地気圧_hPa__19_00,0
糸魚川_相対湿度_%__2_00,0
糸魚川_相対湿度_%__1_00,0
糸魚川_海面気圧_hPa__0_00,0
糸魚川_海面気圧_hPa__23_00,0
糸魚川_海面気圧_hPa__22_00,0
糸魚川_海面気圧_hPa__21_00,0
糸魚川_海面気圧_hPa__20_00,0
糸魚川_海面気圧_hPa__19_00,0
糸魚川_海面気圧_hPa__18_00,0
糸魚川_海面気圧_hPa__17_00,0
糸魚川_海面気圧_hPa__16_00,0
糸魚川_海面気圧_hPa__15_00,0
糸魚川_海面気圧_hPa__14_00,0
糸魚川_海面気圧_hPa__13_00,0
糸魚川_海面気圧_hPa__12_00,0
糸魚川_海面気圧_hPa__11_00,0
糸魚川_相対湿度_%__18_00,0
糸魚川_相対湿度_%__17_00,0
糸魚川_相対湿度_%__16_00,0
糸魚川_相対湿度_%__15_00,0
